Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Material,Puntuacion_curso,Edad,Decision,Gusto_g,Interes_profesional_g,Autoeficacia_g,Utilidad_g
VIDEOJUEGOS 2D,0,1102000,0,2,10,10,2,10,10,2,0,0.166666667,0.25,-0.4
VIDEOJUEGOS 2D,0,1102000,0,0,10,1,3,10,10,2,3,1.666666667,-0.25,1.4
MINECRAFT,0,1103750,0,3,10,10,3,9,12,2,-0.5,0.666666667,0,0
DISEÑO 3D,0,1104000,1,2,10,10,3,10,10,2,0,-0.166666667,0.25,-0.2
DISEÑO 3D,1,1104000,1,2,10,10,3,8,10,2,-3.333333333,-1.5,-1.25,-1.2
VIDEOJUEGOS 2D,0,1104250,0,3,10,10,3,10,13,2,0.166666667,0.833333333,0.5,0.6
AUTOMATIZACION,1,1107156,0,3,10,8,3,10,16,2,0.666666667,0.666666667,0.25,0.4
INTELIGENCIA ARTIFICIAL,1,1107711,0,2,10,10,3,8,14,1,-0.333333333,0,0,0.4
INGENIERIA MECANICA,1,1107991,0,3,10,10,3,10,16,2,-0.166666667,0,0,0.2
BIOINGENIERIA,0,1109806,1,2,9,10,3,9,12,0,0.833333333,0.666666667,0,0.4
CIENCIA EN LA COCINA,0,1110000,0,3,10,10,2,10,10,2,-0.333333333,0.166666667,0.75,-2
INTELIGENCIA ARTIFICIAL,1,1110323,0,1,10,10,2,8,14,1,-0.5,0.666666667,-0.5,-0.4
CIBERSEGURIDAD,1,1112000,1,3,10,10,3,10,12,2,0,0,0,0
CIBERSEGURIDAD,1,1112643,0,3,10,10,3,10,16,1,0,0.666666667,0,0.4
CIBERSEGURIDAD,1,1203465,0,2,10,10,3,9,15,2,-0.5,-1,-2.5,0.2
CIBERSEGURIDAD,1,1204427,0,2,10,10,2,9,16,1,0.333333333,0.333333333,0,0
CIENCIA EN LA COCINA,0,1206000,1,3,8,6,2,9,13,2,0.166666667,0.166666667,-0.25,0.2
SMART CITY,1,1206306,0,3,10,10,3,10,15,2,0,0,-0.5,0.6
BIOINGENIERIA,1,1207020,1,2,8,9,2,10,14,2,-0.166666667,0,0,-0.2
CIENCIA EN LA COCINA,0,1209000,0,3,10,10,3,10,11,0,0.333333333,0,0.25,0.2
VIDEOJUEGOS 3D,1,1211000,0,3,10,10,3,10,15,1,0.333333333,-0.333333333,0.75,0.4
INGENIERIA MECANICA,1,1305293,0,2,8,8,2,8,15,1,0.166666667,0,0,0
DISEÑO 3D,1,1306366,0,3,9,9,2,9,14,2,0.166666667,-0.166666667,0.5,0.2
VIDEOJUEGOS 3D,1,1307385,0,3,2,1,1,4,14,2,-0.5,-0.666666667,-0.5,-0.4
DRONES,1,1307570,0,1,9,9,1,8,14,2,-0.5,0,-0.5,0.2
INGENIERIA MECANICA,0,1308000,0,3,10,10,3,10,12,1,0.333333333,-0.333333333,0.5,0.2
DISEÑO 3D,0,1310000,1,3,9,8,2,9,12,2,-0.166666667,-0.166666667,0.5,0
DISEÑO 3D,0,1311000,1,2,9,9,3,8,10,1,-0.5,0.333333333,-0.5,0.2
EDICION DE FOTO Y VIDEO,1,1311072,0,3,10,1,2,10,16,2,-2.833333333,-2.333333333,1,-1.4
CIENCIA EN LA COCINA,0,1312000,1,3,10,10,3,9,11,2,1.166666667,0.166666667,0.75,0.8
CIBERSEGURIDAD,1,1312674,0,2,10,10,2,8,15,2,-0.333333333,0.166666667,0.25,-0.2
