Codigo,Edad,Nivel,Genero,Gusto,Interes_profesional,Autoeficacia,Utilidad,Grupo_Edad,label
2211745.0,15,SENIOR,Chico,4.833333333333333,5.0,4.25,4.6,Older student,0
2609256.0,14,SENIOR,Chico,3.6666666666666665,3.5,2.75,4.4,Older student,2
2709421.0,14,SENIOR,Chico,4.833333333333333,3.6666666666666665,3.25,4.6,Older student,2
2901873.0,14,SENIOR,Chico,4.166666666666667,4.0,3.5,4.4,Older student,2
2909080.0,14,SENIOR,Chico,3.8333333333333335,3.8333333333333335,4.0,4.0,Older student,2
109000.0,10,JUNIOR,Chico,3.1666666666666665,2.6666666666666665,3.0,4.2,Younger student,1
504000.2,13,JUNIOR,Chica,3.5,2.833333333333333,3.75,4.0,Older student,2
1001051.0,12,JUNIOR,Chica,4.5,4.5,4.0,4.4,Younger student,0
1310000.2,11,JUNIOR,Chica,4.0,4.166666666666667,3.0,5.0,Younger student,2
1809000.0,11,JUNIOR,Chica,5.0,3.6666666666666665,5.0,5.0,Younger student,0
1812000.2,12,JUNIOR,Chica,2.6666666666666665,2.6666666666666665,3.5,3.2,Younger student,1
2203000.0,13,JUNIOR,Chica,4.833333333333333,4.666666666666667,4.5,4.4,Older student,0
2205000.0,11,JUNIOR,Chico,3.5,3.5,4.25,5.0,Younger student,2
2803000.0,11,JUNIOR,Chica,4.166666666666667,3.6666666666666665,2.75,4.6,Younger student,2
2804000.0,12,JUNIOR,Chico,4.5,4.166666666666667,4.0,4.2,Younger student,0
2808000.0,10,JUNIOR,Chica,2.1666666666666665,2.333333333333333,2.5,3.6,Younger student,1
2812000.0,10,JUNIOR,Chica,4.5,3.1666666666666665,3.75,3.2,Younger student,2
3007000.0,11,JUNIOR,Chico,4.333333333333333,5.0,3.75,4.8,Younger student,0
506531.0,14,SENIOR,Chica,3.8333333333333335,3.0,4.25,4.6,Older student,2
605000.0,13,SENIOR,Chica,4.0,4.5,4.25,4.2,Older student,0
708871.0,13,SENIOR,Chico,2.6666666666666665,3.1666666666666665,2.5,3.8,Older student,1
905682.0,15,SENIOR,Chico,5.0,4.833333333333333,4.75,4.6,Older student,0
1006000.0,14,SENIOR,Chica,5.0,4.333333333333333,4.75,5.0,Older student,0
1207020.0,13,SENIOR,Chica,2.833333333333333,3.0,3.25,3.0,Older student,1
1311072.0,16,SENIOR,Chico,4.0,3.333333333333333,3.0,2.6,Older student,1
1708698.0,13,SENIOR,Chico,4.166666666666667,4.333333333333333,4.0,3.6,Older student,0
1912000.1,13,SENIOR,Chica,4.666666666666667,3.5,2.75,5.0,Older student,2
2105234.0,14,SENIOR,Chico,3.5,3.5,3.0,3.6,Older student,1
2303809.0,13,SENIOR,Chico,4.0,3.5,3.0,4.2,Older student,2
2502000.2,14,SENIOR,Chica,3.6666666666666665,4.0,3.75,4.4,Older student,2
410780.0,15,SENIOR,Chico,4.0,3.1666666666666665,3.5,4.4,Older student,2
703879.0,15,SENIOR,Chica,3.5,3.0,3.25,4.2,Older student,1
806041.0,15,SENIOR,Chico,2.0,2.5,2.25,3.4,Older student,1
910628.0,15,SENIOR,Chico,4.666666666666667,3.5,3.75,4.2,Older student,2
1503393.0,16,SENIOR,Chica,3.8333333333333335,2.0,3.0,3.6,Older student,1
1701952.0,16,SENIOR,Chico,5.0,4.833333333333333,3.75,4.6,Older student,0
1702418.0,15,SENIOR,Chica,3.333333333333333,4.0,4.25,3.6,Older student,2
1705326.0,15,SENIOR,Chica,3.0,3.6666666666666665,2.75,4.4,Older student,1
1801010.0,16,SENIOR,Chico,4.166666666666667,3.333333333333333,4.5,4.4,Older student,2
2404467.0,14,SENIOR,Chico,4.833333333333333,5.0,4.25,4.4,Older student,0
2505253.0,15,SENIOR,Chico,4.166666666666667,5.0,4.0,4.6,Older student,0
2709776.0,15,SENIOR,Chica,4.5,3.5,5.0,4.8,Older student,0
3009521.0,15,SENIOR,Chico,3.333333333333333,3.0,2.5,3.6,Older student,1
310000.0,10,JUNIOR,Chica,3.333333333333333,2.333333333333333,3.25,2.2,Younger student,1
1806000.0,12,JUNIOR,Chico,3.0,3.5,4.0,3.8,Younger student,2
1912000.2,12,JUNIOR,Chico,4.333333333333333,4.5,5.0,4.2,Younger student,0
2107000.0,12,JUNIOR,Chico,3.8333333333333335,3.8333333333333335,4.25,4.2,Younger student,2
2204000.0,9,JUNIOR,Chico,3.6666666666666665,3.6666666666666665,4.25,4.6,Younger student,2
2206000.0,11,JUNIOR,Chico,4.333333333333333,3.1666666666666665,3.25,3.6,Younger student,2
2501000.1,13,JUNIOR,Chico,4.0,3.0,4.5,3.4,Older student,2
2509049.0,12,JUNIOR,Chica,2.5,3.0,3.0,3.0,Younger student,1
404000.0,14,SENIOR,Chico,4.833333333333333,4.0,4.25,4.6,Older student,0
1610654.0,13,SENIOR,Chico,2.833333333333333,3.0,3.0,4.2,Older student,1
1802670.0,15,SENIOR,Chico,4.666666666666667,3.5,3.25,4.2,Older student,2
1909923.0,15,SENIOR,Chico,3.5,3.6666666666666665,3.5,4.4,Older student,2
2403282.0,14,SENIOR,Chico,4.0,3.5,3.25,4.0,Older student,2
0.0,13,JUNIOR,Chico,4.833333333333333,4.333333333333333,3.5,4.0,Older student,0
157000.0,11,JUNIOR,Chico,3.0,3.0,3.0,3.0,Younger student,1
504000.1,13,JUNIOR,Chico,4.0,3.8333333333333335,3.5,3.6,Older student,2
1308000.0,12,JUNIOR,Chico,4.666666666666667,4.666666666666667,4.0,4.4,Younger student,0
1712000.0,10,JUNIOR,Chico,4.833333333333333,3.5,3.5,4.6,Younger student,2
2705000.0,14,JUNIOR,Chico,4.666666666666667,4.833333333333333,3.25,4.2,Older student,0
2801000.0,12,JUNIOR,Chico,5.0,5.0,5.0,5.0,Younger student,0
3006000.0,11,JUNIOR,Chico,4.5,2.6666666666666665,2.75,3.0,Younger student,1
604762.0,14,SENIOR,Chico,5.0,4.833333333333333,3.75,4.0,Older student,0
609703.0,16,SENIOR,Chico,4.166666666666667,4.333333333333333,2.75,4.2,Older student,2
708269.0,12,SENIOR,Chico,4.833333333333333,4.833333333333333,4.5,4.8,Younger student,0
801040.0,17,SENIOR,Chico,4.333333333333333,4.333333333333333,3.5,4.8,Older student,0
805065.0,15,SENIOR,Chico,4.666666666666667,5.0,3.75,4.4,Older student,0
1107991.0,16,SENIOR,Chico,4.0,3.6666666666666665,2.75,3.8,Older student,2
1404024.0,17,SENIOR,Chica,4.5,4.833333333333333,3.5,4.2,Older student,0
1603225.0,17,SENIOR,Chico,4.5,4.833333333333333,3.75,4.4,Older student,0
1904467.0,17,SENIOR,Chico,4.5,4.0,2.75,4.0,Older student,2
2004265.0,15,SENIOR,Chico,4.166666666666667,3.5,3.25,4.2,Older student,2
2007890.0,14,SENIOR,Chico,4.0,4.333333333333333,2.5,3.8,Older student,2
2101115.0,16,SENIOR,Chico,4.166666666666667,4.333333333333333,3.25,4.6,Older student,2
2101540.0,16,SENIOR,Chico,3.5,3.6666666666666665,2.25,4.4,Older student,2
2101894.0,16,SENIOR,Chico,4.333333333333333,4.666666666666667,3.25,4.4,Older student,0
2203352.0,17,SENIOR,Chico,4.166666666666667,4.166666666666667,4.0,4.0,Older student,2
2308128.0,13,SENIOR,Chico,4.0,4.666666666666667,4.0,3.6,Older student,0
2309302.0,16,SENIOR,Chica,5.0,4.833333333333333,4.0,5.0,Older student,0
2410178.0,17,SENIOR,Chico,3.5,4.166666666666667,3.75,4.0,Older student,2
2512371.0,13,SENIOR,Chico,3.5,3.0,4.0,4.4,Older student,2
2710351.0,16,SENIOR,Chico,3.333333333333333,4.333333333333333,2.75,4.2,Older student,2
3005065.0,15,SENIOR,Chico,4.0,3.8333333333333335,3.5,4.6,Older student,2
3103888.0,15,SENIOR,Chico,4.0,3.8333333333333335,3.5,4.0,Older student,2
302848.0,16,SENIOR,Chica,4.833333333333333,4.0,4.0,4.4,Older student,0
311077.0,15,SENIOR,Chico,4.333333333333333,4.833333333333333,2.25,3.8,Older student,2
607816.0,16,SENIOR,Chico,4.0,3.5,4.0,3.6,Older student,2
707974.0,15,SENIOR,Chico,4.666666666666667,4.666666666666667,4.75,5.0,Older student,0
1107711.0,14,SENIOR,Chico,4.666666666666667,4.0,3.75,4.4,Older student,0
1407450.0,16,SENIOR,Chico,5.0,5.0,4.0,5.0,Older student,0
1611663.0,15,SENIOR,Chico,4.666666666666667,4.666666666666667,3.75,4.8,Older student,0
1701657.0,16,SENIOR,Chico,4.5,4.166666666666667,3.5,4.0,Older student,2
1801821.0,16,SENIOR,Chica,4.666666666666667,4.166666666666667,3.5,5.0,Older student,0
1806485.0,17,SENIOR,Chico,4.5,4.833333333333333,3.5,3.8,Older student,0
2211155.0,15,SENIOR,Chico,2.833333333333333,1.8333333333333333,4.0,4.2,Older student,1
2312587.0,12,SENIOR,Chica,4.166666666666667,3.1666666666666665,4.25,3.6,Younger student,2
2403768.0,15,SENIOR,Chico,4.166666666666667,4.833333333333333,4.0,4.2,Older student,0
2405749.0,16,SENIOR,Chico,4.833333333333333,4.833333333333333,4.25,4.6,Older student,0
2609000.0,13,SENIOR,Chico,4.833333333333333,4.833333333333333,4.25,4.8,Older student,0
