Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales
BIOINGENIERIA,JUNIOR,2009630,Chica,Muy bien,10,10,Regular,Regular,Muy buena,Muy bien,Sí,Cirujana/ Ingeniera,Muy buena,Muy bien,Sí,Sí,10,Los experimentos con microscopio,Todo ha sido bueno,Nada! ;),5,5,5,1,1,5,5,4,5,1,5,5,5,5,2,5,4,5,1,1,5
BIOINGENIERIA,JUNIOR,2107000,Chico,Bien,9,7,Muy buena,Muy buena,Buena,Bien,Sí,ingeniería,Muy buena,Bien,Sí,Sí,8,.,.,.,4,4,4,2,2,3,4,4,4,2,4,4,4,4,2,4,3,4,2,2,4
BIOINGENIERIA,JUNIOR,2202394,Chica,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,ser científica,Muy buena,Muy bien,Sí,Sí,10,los experimentos,que me llamen Pilar (aunque algunas veces no),"el espacio del patio, me parece muy pequeño",5,5,5,1,1,4,5,4,5,1,5,5,5,5,1,5,4,5,1,4,5
BIOINGENIERIA,JUNIOR,2505000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,No lo tengo muy claro pero quiero ir por la rama de ciencias.,Buena,Muy bien,Sí,Sí,10,Ver mis células y mi ADN.,No hay nada que no me haya gustado.,"Nada, no se me ocurre nada.",5,4,5,1,2,3,4,4,5,2,5,5,5,5,5,4,4,5,1,5,5
BIOINGENIERIA,JUNIOR,2604000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,"Científica de medicinas, Programadora o Ingeniera Aeronáutica",Muy buena,Muy bien,Sí,Sí,10,He conocido a unos amigos muy buenos y simpáticos los experimentos web muy divertidos,"Nada, solo que ya se termina este curso 😭",Si se puede poned monopatines para los recreos y descansos para que nos entretengamos un poco,5,5,4,2,1,5,5,4,5,1,5,5,5,5,2,5,5,5,1,2,5
BIOINGENIERIA,JUNIOR,2707000,Chica,Bien,10,10,Muy buena,Buena,Muy buena,Bien,No sé,no sé,Buena,Muy bien,Sí,Sí,10,los experimentos,el debate,nada,5,4,5,1,3,4,3,5,5,3,5,5,3,5,4,3,5,5,1,4,5
BIOINGENIERIA,JUNIOR,2707000,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,tengo varias opciones; una de ellas es diseñadora de interiores o actriz y otra que he decidido que puedo ser este año en este curso de bioingenieria es bióloga marina.,Buena,Bien,Sí,Sí,10,lo mejor del curso es lo mucho que he aprendido tanto viendo videos como explicando las cosas y sobre todo mirando con el microscopio y hacer nuestras propias placas petri.,lo peor del curso la verdad es que no tengo cosas malas q decir porque todo me ha encantado muchisimo.,deberiais mejorar ir al recreo puntuales y no reterasarnos,4,4,5,2,2,3,2,3,4,2,4,3,4,4,2,2,3,5,1,1,4
BIOINGENIERIA,JUNIOR,2712000,Chica,Bien,10,9,Muy buena,Muy buena,Muy buena,Muy bien,No sé,a la astrofisica,Muy buena,Muy bien,Sí,Sí,10,a sido mirar en el microscopio,nada,nada,5,5,5,1,1,4,4,3,5,1,5,5,5,5,3,5,4,5,1,4,5
BIOINGENIERIA,JUNIOR,2712000,Chica,Bien,10,10,Muy buena,Muy buena,Buena,Bien,No sé,policía,Muy buena,Bien,Sí,Sí,10,Telescopio,nada,no,4,4,5,1,3,4,4,4,5,1,5,4,3,5,1,2,4,5,1,2,5
BIOINGENIERIA,JUNIOR,2812365,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Pediatría,Buena,Bien,Sí,Sí,10,I,Utilizar los microscopios,No sé,5,5,5,1,1,4,5,4,5,3,5,5,5,5,1,3,4,5,1,4,5
