Codigo,Grupo_Edad,Genero,label_x,label_y
1206306,Older student,Chico,0,0
3103858,Older student,Chica,0,0
103000,Older student,Chico,2,2
202000,Older student,Chico,2,0
211000,Younger student,Chica,0,2
402000,Younger student,Chico,1,0
712000,Younger student,Chico,0,2
1102000,Younger student,Chico,1,0
1104250,Older student,Chico,0,0
1506349,Older student,Chico,1,2
1711000,Younger student,Chico,0,0
1801000,Older student,Chica,2,0
1911000,Younger student,Chica,1,1
2010000,Younger student,Chico,1,1
308894,Older student,Chico,0,0
310605,Older student,Chico,0,0
411655,Older student,Chico,1,1
603000,Younger student,Chica,2,2
702837,Older student,Chica,2,2
802836,Older student,Chica,0,0
809000,Older student,Chica,0,2
1012000,Older student,Chico,2,2
1211000,Older student,Chico,0,0
1307385,Older student,Chico,2,1
2101024,Older student,Chica,0,0
2703000,Older student,Chico,2,2
2908377,Older student,Chico,1,1
2912000,Younger student,Chico,0,0
3008623,Older student,Chica,0,0
